Area,Perimeter,Major_Axis,Minor_Axis,Eccentricity,Eqdiasq,Solidity,Convex_Area,Extent,Aspect_Ratio,Roundness,Compactness,Shapefactor_1,Shapefactor_2,Shapefactor_3,Shapefactor_4,Mean_RR,Mean_RG,Mean_RB,StdDev_RR,StdDev_RG,StdDev_RB,Skew_RR,Skew_RG,Skew_RB,Kurtosis_RR,Kurtosis_RG,Kurtosis_RB,Class
76110,1721.329,469.6335,224.6636,0.8782,311.2977,0.8485,89701,0.6471,2.0904,0.3228,0.6629,0.0062,0.003,0.4394,0.9185,210.0036,199.8459,175.3243,21.386,23.5142,26.2654,-0.3902,-0.2152,-0.0441,2.2029,2.1869,2.6074,1
48825,1095.2321,369.8846,172.9719,0.8839,249.3309,0.9236,52865,0.6802,2.1384,0.5115,0.6741,0.0076,0.0035,0.4544,0.9717,200.1141,186.9111,170.5383,16.4704,17.8744,20.7701,-0.2128,-0.1973,-0.1444,2.3221,2.2656,2.808,1
60052,1109.887,406.9545,193.4755,0.8798,276.5151,0.9358,64170,0.7233,2.1034,0.6126,0.6795,0.0068,0.0032,0.4617,0.9711,207.2455,198.8727,182.0975,17.8451,19.4392,21.6649,-0.572,-0.4595,-0.3068,2.708,2.5866,2.8547,1
83068,1194.953,472.6163,232.1761,0.871,325.216,0.9297,89346,0.7602,2.0356,0.731,0.6881,0.0057,0.0028,0.4735,0.9639,231.8903,222.1613,202.9416,20.0475,21.2865,23.0154,-1.3647,-1.1455,-0.5527,4.5688,4.1391,3.2822,1
88422,1228.655,491.7816,232.7189,0.8809,335.533,0.9805,90184,0.7828,2.1132,0.7361,0.6823,0.0056,0.0026,0.4655,0.9837,239.1511,233.7568,219.6264,21.6311,21.6993,20.2555,-1.8168,-1.5687,-0.9856,6.1007,5.4921,4.3433,1
53305,1360.2791,391.9669,181.4,0.8865,260.5188,0.9008,59173,0.6715,2.1608,0.362,0.6646,0.0074,0.0034,0.4418,0.9545,214.1832,205.2034,192.4926,24.0273,26.857,30.431,-0.344,-0.2806,-0.2475,2.074,2.0719,2.5855,1
65471,1888.229,401.476,215.7959,0.8433,288.7218,0.91,71950,0.7343,1.8604,0.2308,0.7192,0.0061,0.0033,0.5172,0.9622,213.5294,205.6785,191.9286,22.5034,24.9605,26.3281,-0.3929,-0.2714,-0.1276,2.3264,2.2211,2.472,1
73525,1146.691,433.863,225.662,0.8541,305.9656,0.9371,78462,0.7119,1.9226,0.7027,0.7052,0.0059,0.0031,0.4973,0.9562,229.9309,223.6009,207.9093,26.4482,27.3897,26.9568,-1.0078,-0.8639,-0.6933,2.9633,2.7504,2.6347,1
73305,1286.464,439.9381,214.2885,0.8734,305.5075,0.9681,75722,0.759,2.053,0.5566,0.6944,0.006,0.0029,0.4822,0.99,207.8318,198.8774,182.1759,18.4966,19.9685,23.1208,-0.1008,0.067,0.4616,2.8715,2.8529,3.3896,1
75858,2226.1299,457.2219,231.9447,0.8618,310.7819,0.8915,85093,0.5994,1.9713,0.1924,0.6797,0.006,0.0031,0.462,0.9108,221.2098,209.8756,201.097,26.0143,29.2178,27.5004,-0.5317,-0.4747,-0.4452,2.0319,2.0091,2.1383,1
83252,2418.3091,507.1465,229.1038,0.8921,325.576,0.8694,95756,0.7075,2.2136,0.1789,0.642,0.0061,0.0028,0.4121,0.9123,197.7908,187.4908,186.7605,14.7681,15.5729,15.5086,-0.2883,-0.2344,0.0572,3.0944,3.2253,3.8397,1
71308,2007.626,423.6988,245.6564,0.8148,301.3174,0.8691,82046,0.6809,1.7248,0.2223,0.7112,0.0059,0.0034,0.5057,0.8723,230.0279,224.7034,202.8537,22.3513,24.7459,24.6009,-0.8675,-0.7124,-0.5226,3.0767,2.7615,2.6677,1
75673,1377.975,434.4699,237.145,0.8379,310.4027,0.913,82882,0.7315,1.8321,0.5008,0.7144,0.0057,0.0031,0.5104,0.9351,226.9595,218.3185,197.8887,28.0787,29.5608,32.144,-0.7475,-0.5636,-0.9786,2.3597,2.1976,3.7603,1
74356,2528.801,474.0894,229.4486,0.8751,307.6898,0.8248,90148,0.6428,2.0662,0.1461,0.649,0.0064,0.0031,0.4212,0.8703,223.3793,210.2575,199.7429,25.0078,26.294,25.2864,-0.8346,-0.8016,-0.7786,2.7502,2.6866,2.6886,1
58786,2212.365,432.6855,217.2868,0.8648,273.5848,0.7627,77076,0.602,1.9913,0.1509,0.6323,0.0074,0.0037,0.3998,0.7961,220.9278,209.3774,183.8187,23.4671,24.5263,24.9476,-0.7487,-0.6691,-0.6572,2.424,2.3062,2.5991,1
81524,1336.546,454.9424,232.0323,0.8602,322.1794,0.9618,84760,0.7146,1.9607,0.5735,0.7082,0.0056,0.0028,0.5015,0.9833,218.3287,205.3253,178.64,23.7557,23.4121,21.0957,-0.5349,-0.477,-0.1782,2.4237,2.5274,2.9724,1
67458,1792.79,418.4832,228.1802,0.8383,293.0703,0.8805,76613,0.6471,1.834,0.2637,0.7003,0.0062,0.0034,0.4904,0.8995,218.1328,206.3039,183.4195,25.7193,26.8345,27.5743,-0.4083,-0.3307,-0.1323,2.0884,2.0293,1.9776,1
84628,1392.062,479.9708,230.7856,0.8768,328.2556,0.9375,90268,0.7362,2.0797,0.5488,0.6839,0.0057,0.0027,0.4677,0.9727,225.0671,214.8804,204.1644,25.1009,25.9879,24.7778,-0.9541,-0.9644,-0.943,2.9323,2.9022,3.0841,1
