,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Class
0,70172,13,460,3,4,3,1,5,1
1,5047,25,235,3,2,3,3,1,1
2,110028,26,1142,2,2,2,2,5,0
3,24026,25,562,2,5,5,5,2,1
4,119299,61,214,3,3,3,3,4,0
5,111157,26,1180,3,4,2,1,1,1
6,82113,47,1276,2,4,2,3,2,1
7,96462,52,2035,4,3,4,4,5,0
8,79485,41,853,1,2,2,2,4,1
9,65725,20,1061,3,3,3,4,2,1
10,34991,24,1182,4,5,5,4,2,1
11,51412,12,308,2,4,2,2,1,1
12,98628,53,834,1,4,4,4,1,1
13,83502,33,946,4,2,4,3,4,0
14,95789,26,453,3,2,3,2,2,1
15,100580,13,486,2,1,2,3,4,1
16,71142,26,2123,3,3,3,3,4,0
17,127461,41,2075,4,4,2,4,4,0
18,70354,45,2486,4,4,4,4,3,0
19,66246,38,460,2,3,3,2,5,1
20,39076,9,1174,2,4,2,4,2,1
21,22434,17,208,3,1,3,3,5,1
22,43510,43,752,3,5,3,5,5,1
23,114090,58,2139,4,5,4,5,4,1
24,105420,23,452,5,0,5,1,1,0
25,102956,57,719,4,4,4,1,5,1
26,18510,33,1561,1,1,1,1,1,0
27,14925,49,315,4,4,4,4,2,0
28,118319,36,3347,3,1,1,1,1,1
29,75460,22,2342,3,2,3,3,3,1
30,48492,31,819,4,4,4,4,5,0
31,27809,15,1043,2,2,2,3,5,1
32,70594,35,2611,4,5,4,4,4,0
33,30089,67,1192,4,5,4,1,2,1
34,58779,37,1182,3,3,3,4,1,1
35,79659,40,349,1,4,4,4,1,1
36,110293,34,883,3,4,4,3,5,1
37,48014,40,550,4,3,4,2,2,1
38,96517,47,302,4,4,4,3,2,0
39,64685,41,354,1,1,1,2,1,1
40,64138,39,1734,4,4,4,4,3,0
41,60373,25,1452,3,5,3,4,3,1
42,14849,41,296,0,0,0,3,2,0
43,28319,38,2882,3,3,3,3,2,0
44,103012,50,460,1,1,1,1,3,0
45,124114,29,529,1,1,1,1,5,0
46,107794,22,349,2,4,2,1,4,1
47,81983,13,1522,1,1,1,1,1,1
48,53164,54,612,3,3,3,3,5,0
49,82042,21,1454,2,2,2,3,5,1
50,72127,28,731,2,1,1,1,2,1
51,113046,27,2076,3,3,3,3,4,0
52,1050,69,309,5,5,5,5,1,0
53,54886,35,775,2,3,2,4,4,1
54,125918,60,861,2,2,2,3,1,1
55,7467,45,3334,2,4,2,2,4,0
56,78972,57,2496,0,0,0,1,3,0
57,126625,40,602,5,5,5,5,2,0
58,114501,38,308,3,3,3,3,4,1
59,114813,23,446,2,4,2,1,4,1
60,32167,39,216,2,2,2,3,3,1
61,68001,52,3475,2,2,2,2,4,0
62,117052,25,646,2,1,2,2,4,1
63,8661,48,2501,3,3,3,3,5,0
64,57165,59,2227,5,5,5,5,2,0
65,78610,25,1426,3,3,3,3,4,0
66,51058,38,190,2,4,2,3,4,1
67,92027,46,1532,2,2,2,2,2,0
68,115534,50,308,2,1,1,1,2,1
69,9261,38,157,4,4,4,4,4,0
70,61033,53,1506,4,4,4,4,3,0
71,75930,30,205,3,2,2,2,3,1
72,112142,39,895,2,2,2,4,5,1
73,24518,66,516,1,4,1,2,2,1
74,112524,45,909,3,5,3,2,1,1
75,101639,25,1435,5,1,5,4,1,0
76,85018,52,1190,2,4,4,4,1,1
77,106922,64,1259,4,5,4,2,2,0
78,32564,50,216,4,0,4,4,4,1
79,92242,41,1670,2,1,1,2,3,1
80,73302,26,3960,1,1,1,1,4,0
81,42267,25,817,4,4,4,3,3,1
82,121358,44,1670,3,3,3,4,5,1
83,65655,21,861,4,0,4,4,1,0
84,88062,47,406,2,2,2,2,3,0
85,91330,31,404,4,4,4,4,4,0
86,22031,57,500,3,5,3,2,3,1
87,27921,44,689,3,5,3,4,5,1
88,51947,45,3100,3,3,3,3,1,0
89,40017,13,525,2,2,2,3,3,1
90,76392,60,931,0,5,0,3,4,0
91,118486,41,304,5,5,5,3,2,0
92,6012,30,1896,4,1,1,1,4,1
93,30183,51,261,5,4,4,4,4,0
94,41652,61,347,2,5,5,5,5,0
95,15138,32,1042,4,1,1,1,4,0
96,123589,39,1773,4,5,4,5,5,1
97,114534,19,342,3,1,3,2,3,1
98,93076,15,297,1,5,1,3,5,1
99,96963,42,883,3,3,3,3,3,0
100,85494,16,332,2,5,2,1,3,1
101,72989,19,2388,5,5,5,5,4,0
102,42357,29,748,2,5,2,2,5,1
103,23040,27,1080,3,3,3,3,3,1
104,65420,22,231,5,0,5,4,5,0
105,65045,15,551,3,4,3,3,4,1
106,37373,11,972,1,1,1,3,1,1
107,44405,34,265,4,3,4,3,5,1
108,16653,26,488,2,0,2,4,1,1
109,71655,26,1144,3,5,2,2,4,1
110,77591,53,2332,5,5,5,5,5,0
111,4585,36,3024,4,2,2,2,1,1
112,108347,32,1750,1,5,4,5,1,1
113,23400,20,483,2,3,2,3,5,1
114,31010,35,2128,2,2,2,2,1,0
115,57513,15,235,2,4,2,1,1,1
116,20979,52,689,2,5,2,3,3,1
117,95841,45,1852,1,1,1,1,5,0
118,114684,24,372,4,4,4,3,3,1
119,111667,46,3705,4,3,3,3,4,1
120,20101,26,416,3,0,3,3,1,1
121,63212,28,337,4,1,1,1,4,1
122,8256,11,335,1,5,1,3,3,1
123,56161,45,1400,5,5,5,5,2,0
124,121196,62,2521,4,5,4,3,4,1
125,23788,34,374,3,3,3,3,4,0
126,129579,51,308,2,2,2,2,4,0
127,127516,58,575,1,4,4,4,2,1
128,18012,22,618,3,5,3,2,3,1
129,45561,8,1304,4,4,4,4,4,0
130,5228,26,351,4,4,4,3,2,0
131,18311,22,549,4,0,4,3,3,1
132,59891,21,3510,3,1,1,1,3,1
133,60651,31,1620,3,2,4,2,3,1
134,51013,44,326,2,0,2,2,2,1
135,91746,27,588,2,2,2,2,5,0
136,4233,47,1020,3,1,3,3,2,0
137,14187,24,2903,3,3,3,3,3,1
138,19669,67,2659,1,1,1,1,1,1
139,31147,32,3037,2,2,2,2,4,0
140,128842,58,2475,4,4,4,3,4,0
141,27562,12,978,4,5,4,5,1,1
142,775,56,2568,3,1,1,1,5,1
143,14070,58,371,3,5,5,1,2,1
144,106007,24,791,3,3,3,3,5,1
145,116004,68,480,3,4,3,3,5,1
146,68886,46,1786,1,1,1,1,3,0
147,72413,43,1849,2,2,2,2,2,0
148,73604,55,3634,0,4,0,4,4,0
149,48415,54,844,4,5,5,2,2,1
150,105708,42,3094,5,5,5,5,4,0
151,65579,47,3465,1,3,3,3,3,1
152,73058,29,1035,1,1,1,1,5,1
153,65585,36,237,2,4,4,4,2,1
154,8346,50,3175,4,4,4,4,2,0
155,79678,31,760,4,2,4,4,1,1
156,112483,13,853,1,4,1,4,4,1
157,31698,24,446,3,4,4,4,5,1
158,74030,60,1071,2,2,2,2,4,0
159,124931,42,728,2,3,2,3,5,1
160,73924,57,2585,2,2,2,2,4,0
161,76073,42,707,2,2,4,2,2,0
162,104623,20,861,0,0,0,5,2,0
163,58523,51,719,3,5,2,4,3,1
164,121929,45,1790,2,5,2,2,2,0
165,30704,26,680,5,5,5,5,5,0
166,58896,26,888,2,2,2,3,5,1
167,26920,24,1660,2,1,2,3,3,1
168,13884,49,578,5,1,1,1,5,0
169,87681,17,606,5,1,4,1,5,0
170,81719,39,1487,3,3,3,3,4,0
171,85554,49,317,0,1,1,1,3,0
172,12645,48,844,3,4,4,3,4,1
173,101275,52,3747,5,5,5,5,2,0
174,95982,25,2748,4,4,4,4,3,0
175,74610,16,1503,3,5,5,5,3,1
176,76449,58,1717,1,1,1,1,2,0
177,14030,8,1117,4,3,4,3,3,1
178,69692,42,1372,3,3,5,3,4,0
179,47648,52,2768,4,1,1,1,2,1
180,52168,47,370,5,3,3,3,2,0
181,60251,69,1546,1,5,1,2,4,1
182,35881,47,1023,2,3,3,3,5,1
183,28852,41,3636,1,1,1,1,3,0
184,55341,40,1325,4,4,4,3,1,1
185,84553,56,2556,1,4,1,3,3,1
186,100249,41,1052,2,2,2,2,4,0
187,2463,40,773,3,4,4,4,3,1
188,22924,12,817,2,3,2,2,1,1
189,25542,59,516,4,5,3,4,1,0
190,115972,21,447,1,5,1,1,2,1
191,2980,12,462,2,4,2,3,2,1
192,125097,31,361,1,5,5,5,1,1
193,46701,37,125,3,2,3,3,2,1
194,108006,38,271,4,0,5,3,2,0
195,19578,45,173,2,5,0,1,2,1
196,59508,43,1950,3,3,3,3,4,0
197,56446,52,719,1,5,2,2,3,1
198,48800,57,153,3,4,4,4,5,1
199,129592,13,337,2,3,2,3,1,1
200,114039,45,3732,5,5,5,5,5,0
201,66800,43,3854,5,5,5,5,5,0
202,106799,53,977,2,4,2,4,2,1
203,47057,23,3073,4,4,1,4,5,0
204,61824,16,1379,2,5,2,2,2,1
205,68207,23,631,2,2,2,2,2,1
206,125512,45,666,2,5,2,4,4,1
207,93019,46,2820,2,2,2,2,2,0
208,87296,49,577,2,5,2,2,3,1
209,76748,40,2808,4,3,3,3,3,1
210,85879,19,2172,5,5,5,5,4,0
211,63961,48,1192,4,2,4,3,4,1
212,94760,64,1773,2,4,3,4,5,1
213,49608,38,109,5,3,3,3,5,0
214,80520,23,1749,2,1,1,4,3,1
215,23328,38,3753,2,2,2,2,1,0
216,13560,41,214,1,4,1,2,2,1
217,119121,29,1020,1,4,1,4,1,1
218,42917,47,368,5,1,2,1,4,0
219,52954,50,1448,2,3,2,5,4,1
220,83112,18,1127,2,5,2,3,3,1
221,88574,20,545,2,0,2,3,5,1
222,111570,41,3238,2,2,2,2,5,0
223,28662,12,2466,2,4,2,3,1,1
224,27177,36,2715,2,3,2,3,2,1
225,129585,49,337,3,4,3,3,4,0
226,35759,55,1608,2,2,2,4,2,1
227,49475,43,3004,3,3,3,3,2,1
228,78904,49,980,2,2,2,2,3,1
229,29619,35,1462,1,1,1,1,3,1
230,77512,45,1521,1,1,3,1,3,0
231,31631,28,862,5,5,5,5,5,0
232,38913,60,1833,4,4,4,4,1,0
233,35366,35,2398,2,4,2,4,1,1
234,111817,38,349,3,3,3,5,4,1
235,12259,48,1722,4,5,4,4,4,0
236,19790,65,578,2,4,3,4,2,1
237,33260,30,163,3,5,3,2,1,1
238,107079,51,395,2,4,5,1,2,1
239,15174,23,416,5,0,5,2,4,0
240,23620,37,977,3,4,4,4,3,1
241,18128,23,3095,5,5,5,5,5,0
242,105291,32,738,4,4,4,4,4,1
243,56451,67,719,3,3,3,4,1,1
244,102068,65,226,1,4,1,1,5,1
245,57995,48,1943,1,1,1,1,3,0
246,146,60,2371,4,4,4,4,2,0
