Country,Continent,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,Class
Albania,Europe,1,0,0,0,0,0,1,2,2,3,3,1
Algeria,Africa,80,67,71,69,63,44,69,132,242,434,491,0
American Samoa,Oceania,0,1,0,0,0,0,0,1,0,1,2,0
Andorra,Europe,0,0,0,0,0,0,2,0,0,0,3,1
Angola,Africa,1,3,6,6,4,3,5,5,11,6,8,0
Antigua and Barbuda,Latin America and the Caribbean,0,0,0,0,42,52,51,61,34,51,31,0
Argentina,Latin America and the Caribbean,368,426,626,241,237,196,213,519,374,538,678,0
Armenia,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Oceania,702,639,484,317,317,319,356,467,410,553,620,1
Austria,Europe,234,238,201,117,127,165,196,265,198,227,158,1
Azerbaijan,Asia,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,Latin America and the Caribbean,26,23,38,12,21,28,23,18,22,32,18,0
Bahrain,Asia,0,2,1,1,1,3,0,2,10,9,6,0
Bangladesh,Asia,83,84,86,81,98,92,486,503,476,387,611,0
Barbados,Latin America and the Caribbean,372,376,299,244,265,285,251,303,265,275,327,0
Belarus,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,Europe,511,540,519,297,183,181,197,283,333,307,303,1
Belize,Latin America and the Caribbean,16,27,13,21,37,26,25,23,53,33,38,0
Benin,Africa,2,5,4,3,4,3,6,4,20,14,13,0
Bhutan,Asia,0,0,0,0,1,0,0,0,0,1,0,0
Bolivia (Plurinational State of),Latin America and the Caribbean,44,52,42,49,38,44,79,165,63,68,71,0
Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0,0,0,0,0,1
Botswana,Africa,10,1,3,3,7,4,2,3,8,8,2,0
Brazil,Latin America and the Caribbean,211,220,192,139,145,130,205,244,394,650,650,0
Brunei Darussalam,Asia,79,6,8,2,2,4,12,16,103,63,44,0
Bulgaria,Europe,24,20,12,33,11,24,33,52,43,85,172,1
Burkina Faso,Africa,2,1,3,2,3,2,7,18,6,4,4,0
Burundi,Africa,0,0,0,0,1,2,1,5,1,14,19,0
Cabo Verde,Africa,1,1,2,0,11,1,9,3,1,7,14,0
Cambodia,Asia,12,19,26,33,10,7,8,14,15,27,34,0
Cameroon,Africa,9,2,16,7,8,13,11,18,20,38,34,0
Canada,Northern America,0,0,0,0,0,0,0,0,0,0,3,1
Central African Republic,Africa,4,3,1,0,0,0,0,2,3,4,6,0
Chad,Africa,0,0,1,0,0,1,2,3,7,14,8,0
Chile,Latin America and the Caribbean,1233,1069,1078,781,681,533,633,1454,990,1023,1286,0
China,Asia,5123,6682,3308,1863,1527,1816,1960,2643,2758,4323,8076,0
