AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
76110,1721.329,469.6335,224.6636,0.8782,311.2977,0.8485,89701,0.6471,2.0904,0.3228,0.6629,0.0062,0.003,0.4394,0.9185,1
48825,1095.2321,369.8846,172.9719,0.8839,249.3309,0.9236,52865,0.6802,2.1384,0.5115,0.6741,0.0076,0.0035,0.4544,0.9717,1
60052,1109.887,406.9545,193.4755,0.8798,276.5151,0.9358,64170,0.7233,2.1034,0.6126,0.6795,0.0068,0.0032,0.4617,0.9711,1
83068,1194.953,472.6163,232.1761,0.871,325.216,0.9297,89346,0.7602,2.0356,0.731,0.6881,0.0057,0.0028,0.4735,0.9639,1
88422,1228.655,491.7816,232.7189,0.8809,335.533,0.9805,90184,0.7828,2.1132,0.7361,0.6823,0.0056,0.0026,0.4655,0.9837,1
53305,1360.2791,391.9669,181.4,0.8865,260.5188,0.9008,59173,0.6715,2.1608,0.362,0.6646,0.0074,0.0034,0.4418,0.9545,1
65471,1888.229,401.476,215.7959,0.8433,288.7218,0.91,71950,0.7343,1.8604,0.2308,0.7192,0.0061,0.0033,0.5172,0.9622,1
73525,1146.691,433.863,225.662,0.8541,305.9656,0.9371,78462,0.7119,1.9226,0.7027,0.7052,0.0059,0.0031,0.4973,0.9562,1
73305,1286.464,439.9381,214.2885,0.8734,305.5075,0.9681,75722,0.759,2.053,0.5566,0.6944,0.006,0.0029,0.4822,0.99,1
75858,2226.1299,457.2219,231.9447,0.8618,310.7819,0.8915,85093,0.5994,1.9713,0.1924,0.6797,0.006,0.0031,0.462,0.9108,1
83252,2418.3091,507.1465,229.1038,0.8921,325.576,0.8694,95756,0.7075,2.2136,0.1789,0.642,0.0061,0.0028,0.4121,0.9123,1
71308,2007.626,423.6988,245.6564,0.8148,301.3174,0.8691,82046,0.6809,1.7248,0.2223,0.7112,0.0059,0.0034,0.5057,0.8723,1
75673,1377.975,434.4699,237.145,0.8379,310.4027,0.913,82882,0.7315,1.8321,0.5008,0.7144,0.0057,0.0031,0.5104,0.9351,1
74356,2528.801,474.0894,229.4486,0.8751,307.6898,0.8248,90148,0.6428,2.0662,0.1461,0.649,0.0064,0.0031,0.4212,0.8703,1
58786,2212.365,432.6855,217.2868,0.8648,273.5848,0.7627,77076,0.602,1.9913,0.1509,0.6323,0.0074,0.0037,0.3998,0.7961,1
81524,1336.546,454.9424,232.0323,0.8602,322.1794,0.9618,84760,0.7146,1.9607,0.5735,0.7082,0.0056,0.0028,0.5015,0.9833,1
67458,1792.79,418.4832,228.1802,0.8383,293.0703,0.8805,76613,0.6471,1.834,0.2637,0.7003,0.0062,0.0034,0.4904,0.8995,1
84628,1392.062,479.9708,230.7856,0.8768,328.2556,0.9375,90268,0.7362,2.0797,0.5488,0.6839,0.0057,0.0027,0.4677,0.9727,1
81530,1987.7841,463.7215,236.5881,0.8601,322.1913,0.9201,88606,0.7304,1.96,0.2593,0.6948,0.0057,0.0029,0.4827,0.9462,1
90180,1188.213,452.9105,254.3419,0.8274,338.8521,0.9865,91412,0.7636,1.7807,0.8027,0.7482,0.005,0.0028,0.5598,0.9968,1
67223,1359.09,418.6153,217.6125,0.8543,292.5594,0.9303,72259,0.6915,1.9237,0.4573,0.6989,0.0062,0.0032,0.4884,0.9396,1
96425,1347.23,513.5703,243.3371,0.8806,350.3885,0.9759,98802,0.7015,2.1105,0.6676,0.6823,0.0053,0.0025,0.4655,0.9824,1
84292,1238.2,428.8432,255.9749,0.8023,327.6033,0.9621,87609,0.7599,1.6753,0.6909,0.7639,0.0051,0.003,0.5836,0.9777,1
53286,1253.347,403.966,176.8418,0.8991,260.4724,0.8709,61184,0.634,2.2843,0.4263,0.6448,0.0076,0.0033,0.4158,0.9497,1
74424,1205.576,445.501,227.3165,0.86,307.8304,0.8941,83235,0.6622,1.9598,0.6435,0.691,0.006,0.0031,0.4774,0.9357,1
70689,2024.5959,460.4317,208.2718,0.8918,300.0067,0.897,78808,0.7161,2.2107,0.2167,0.6516,0.0065,0.0029,0.4246,0.9386,1
81460,2009.209,470.2433,252.9894,0.8429,322.0529,0.8651,94167,0.6763,1.8587,0.2536,0.6849,0.0058,0.0031,0.469,0.8718,1
77441,2748.8569,428.3756,274.7805,0.7672,314.0079,0.8114,95443,0.6529,1.559,0.1288,0.733,0.0055,0.0035,0.5373,0.8377,1
91081,1296.701,513.0668,231.2566,0.8927,340.5406,0.9708,93820,0.7511,2.2186,0.6807,0.6637,0.0056,0.0025,0.4405,0.9774,1
75635,1561.036,446.4532,229.405,0.8579,310.3248,0.8969,84327,0.5822,1.9461,0.39,0.6951,0.0059,0.003,0.4831,0.9403,1
73119,1161.65,459.8024,207.723,0.8921,305.1197,0.965,75774,0.7663,2.2135,0.6809,0.6636,0.0063,0.0028,0.4403,0.9747,1
65537,1738.9969,422.4373,221.3358,0.8517,288.8673,0.8709,75252,0.6886,1.9086,0.2723,0.6838,0.0064,0.0034,0.4676,0.8924,1
86114,1275.5,482.045,230.2585,0.8785,331.125,0.9709,88698,0.6016,2.0935,0.6652,0.6869,0.0056,0.0027,0.4719,0.9878,1
43934,1850.2111,361.9039,174.2819,0.8764,236.5132,0.8064,54479,0.6403,2.0765,0.1613,0.6535,0.0082,0.004,0.4271,0.8869,1
73362,1100.2889,428.7806,221.174,0.8567,305.6263,0.9843,74530,0.7755,1.9387,0.7615,0.7128,0.0058,0.003,0.5081,0.9849,1
85526,1333.933,479.3066,233.0093,0.8739,329.9926,0.9506,89969,0.7304,2.057,0.604,0.6885,0.0056,0.0027,0.474,0.975,1
63121,1589.677,447.8658,192.5081,0.9029,283.4928,0.8905,70880,0.6375,2.3265,0.3139,0.633,0.0071,0.003,0.4007,0.9322,1
81333,1221.348,506.2325,214.2905,0.906,321.8018,0.936,86896,0.6167,2.3624,0.6852,0.6357,0.0062,0.0026,0.4041,0.9546,1
55508,1029.842,396.2707,191.7932,0.8751,265.8477,0.9104,60968,0.7225,2.0661,0.6577,0.6709,0.0071,0.0035,0.4501,0.9299,1
70579,1399.671,432.6053,211.7505,0.872,299.7732,0.9514,74186,0.718,2.043,0.4527,0.6929,0.0061,0.003,0.4802,0.981,1
67625,1157.953,413.7079,216.2977,0.8524,293.4328,0.9468,71427,0.681,1.9127,0.6338,0.7093,0.0061,0.0032,0.5031,0.9622,1
75330,1214.089,436.8484,222.0092,0.8612,309.6985,0.9702,77640,0.7731,1.9677,0.6422,0.7089,0.0058,0.0029,0.5026,0.989,1
76164,1123.151,457.5223,214.1462,0.8837,311.4081,0.9788,77811,0.7506,2.1365,0.7587,0.6806,0.006,0.0028,0.4633,0.9898,1
65570,2071.4451,418.0258,217.1458,0.8545,288.94,0.8976,73054,0.5945,1.9251,0.192,0.6912,0.0064,0.0033,0.4778,0.9197,1
64771,1478.691,446.959,190.6946,0.9044,287.1742,0.9285,69756,0.7067,2.3438,0.3723,0.6425,0.0069,0.0029,0.4128,0.9676,1
71771,1425.094,445.004,211.9985,0.8792,302.294,0.9294,77220,0.745,2.0991,0.4441,0.6793,0.0062,0.003,0.4615,0.9686,1
84232,1528.723,484.7547,229.0246,0.8814,327.4867,0.9417,89443,0.615,2.1166,0.4529,0.6756,0.0058,0.0027,0.4564,0.966,1
75031,1159.2629,456.2571,222.0204,0.8736,309.0832,0.9331,80407,0.6655,2.055,0.7016,0.6774,0.0061,0.003,0.4589,0.9431,1
71407,1176.4659,443.3218,211.6084,0.8787,301.5265,0.9437,75664,0.7116,2.095,0.6483,0.6802,0.0062,0.003,0.4626,0.9692,1
75516,1731.484,411.7352,245.762,0.8023,310.0806,0.9148,82546,0.7169,1.6753,0.3165,0.7531,0.0055,0.0033,0.5672,0.9502,1
84529,1169.575,476.1964,228.5816,0.8773,328.0635,0.9888,85490,0.787,2.0833,0.7765,0.6889,0.0056,0.0027,0.4746,0.9888,1
62238,1814.608,405.7151,205.6124,0.8621,281.5029,0.8895,69971,0.6034,1.9732,0.2375,0.6938,0.0065,0.0033,0.4814,0.9499,1
74244,2004.193,431.8755,249.3853,0.8164,307.4579,0.8425,88119,0.657,1.7318,0.2323,0.7119,0.0058,0.0034,0.5068,0.8777,1
72577,1765.828,503.3036,194.4765,0.9223,303.9867,0.8879,81744,0.7244,2.588,0.2925,0.604,0.0069,0.0027,0.3648,0.9441,1
65565,1115.9399,438.7311,197.1891,0.8933,288.929,0.9378,69915,0.7139,2.2249,0.6616,0.6586,0.0067,0.003,0.4337,0.9649,1
65994,2394.1021,437.4028,213.106,0.8733,289.8727,0.8685,75987,0.6656,2.0525,0.1447,0.6627,0.0066,0.0032,0.4392,0.9014,1
63050,1649.811,394.5666,230.5279,0.8116,283.3333,0.8815,71526,0.6735,1.7116,0.2911,0.7181,0.0063,0.0037,0.5156,0.8826,1
78830,1525.908,418.7831,243.061,0.8143,316.8114,0.9528,82738,0.7454,1.723,0.4254,0.7565,0.0053,0.0031,0.5723,0.986,1
67873,1328.665,444.0167,200.4494,0.8923,293.9704,0.9549,71081,0.6245,2.2151,0.4831,0.6621,0.0065,0.003,0.4383,0.971,1
60519,1036.614,417.9505,187.7278,0.8934,277.5882,0.9837,61520,0.746,2.2264,0.7077,0.6642,0.0069,0.0031,0.4411,0.9821,1
69417,1199.814,442.4721,202.4234,0.8892,297.2953,0.9777,70998,0.7603,2.1859,0.606,0.6719,0.0064,0.0029,0.4514,0.9868,1
85660,1188.316,474.8121,234.9223,0.869,330.251,0.9873,86763,0.753,2.0211,0.7623,0.6955,0.0055,0.0027,0.4838,0.9778,1
64046,1431.364,409.9027,207.0709,0.863,285.5624,0.9182,69755,0.6562,1.9795,0.3928,0.6967,0.0064,0.0032,0.4853,0.9607,1
72064,1151.364,436.2237,213.0541,0.8726,302.9104,0.9781,73679,0.767,2.0475,0.6831,0.6944,0.0061,0.003,0.4822,0.9873,1
51626,1030.5439,381.8336,178.0177,0.8847,256.3831,0.9589,53839,0.6754,2.1449,0.6109,0.6715,0.0074,0.0034,0.4508,0.967,1
77603,1137.225,418.1591,245.092,0.8102,314.3362,0.981,79102,0.6393,1.7061,0.754,0.7517,0.0054,0.0032,0.5651,0.9641,1
81733,1291.535,467.2177,226.7052,0.8744,322.5921,0.949,86121,0.6764,2.0609,0.6157,0.6905,0.0057,0.0028,0.4767,0.9825,1
71560,1225.517,426.2491,218.7881,0.8582,301.8493,0.9492,75387,0.7279,1.9482,0.5987,0.7082,0.006,0.0031,0.5015,0.977,1
75944,1206.291,409.6142,239.2557,0.8117,310.958,0.9749,77897,0.7338,1.712,0.6558,0.7591,0.0054,0.0032,0.5763,0.9867,1
53898,999.22,354.2534,202.1277,0.8212,261.9639,0.9235,58360,0.5984,1.7526,0.6784,0.7395,0.0066,0.0038,0.5468,0.9584,1
58747,1323.016,462.1706,166.2839,0.933,273.4941,0.9328,62980,0.5789,2.7794,0.4218,0.5918,0.0079,0.0028,0.3502,0.9733,1
